timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,405.07,410.3975,401.66,402.68,402.68,244903,0.0000,1.0
2020-12-02,411.72,415.4038,406.09,407.32,407.32,254321,0.0000,1.0
2020-12-01,424.33,427.9,412.77,413.14,413.14,346674,0.0000,1.0
2020-11-30,414.0,418.75,411.58,418.3,418.3,565460,0.0000,1.0
2020-11-27,413.83,418.7299,413.83,414.58,414.58,140646,0.0000,1.0
2020-11-25,420.14,421.69,410.21,414.58,414.58,507408,0.0000,1.0
2020-11-24,416.37,423.97,415.23,420.55,420.55,324653,0.0000,1.0
2020-11-23,411.35,416.28,407.92,414.85,414.85,241130,0.0000,1.0
2020-11-20,419.34,419.34,405.23,409.3,409.3,417585,0.0000,1.0
2020-11-19,413.06,424.08,411.53,422.86,422.86,290474,0.0000,1.0
2020-11-18,411.49,420.54,411.49,415.01,415.01,310371,0.0000,1.0
2020-11-17,412.47,412.9,405.52,410.46,410.46,245936,0.0000,1.0
2020-11-16,406.76,414.97,404.615,414.53,414.53,325507,0.0000,1.0
2020-11-13,400.0,409.0,400.0,403.31,403.31,214838,0.0000,1.0
2020-11-12,403.4,403.4,394.63,398.17,398.17,198261,0.0000,1.0
2020-11-11,405.0,407.4,399.49,403.39,403.39,286276,0.0000,1.0
2020-11-10,390.11,405.75,388.89,404.48,404.48,420172,0.0000,1.0
2020-11-09,403.16,411.87,388.22,388.22,388.22,406586,0.0000,1.0
2020-11-06,378.51,393.25,377.44,390.63,390.63,327403,1.5300,1.0
2020-11-05,379.89,383.75,376.9,378.84,377.361967564,304726,0.0000,1.0
2020-11-04,374.96,379.325,368.825,374.71,373.24808063,375157,0.0000,1.0
2020-11-03,366.73,374.04,366.73,371.22,369.771696756,230826,0.0000,1.0
2020-11-02,354.24,363.3,354.24,363.23,361.812869492,283619,0.0000,1.0
2020-10-30,348.87,351.925,345.0,350.02,348.654407895,382688,0.0000,1.0
2020-10-29,352.01,354.565,348.3,350.11,348.744056763,306719,0.0000,1.0
2020-10-28,352.58,358.61,350.8,352.55,351.174537179,528551,0.0000,1.0
2020-10-27,362.3,364.0,357.46,357.64,356.244678703,289938,0.0000,1.0
2020-10-26,356.92,361.48,356.11,361.28,359.870477356,415622,0.0000,1.0
2020-10-23,363.17,367.805,359.995,361.03,359.621452723,346560,0.0000,1.0
2020-10-22,371.36,375.61,352.76,362.02,360.607590269,597160,0.0000,1.0
2020-10-21,375.58,379.49,370.53,373.44,371.983035496,442565,0.0000,1.0
2020-10-20,377.96,381.29,374.59,375.84,374.373671971,248404,0.0000,1.0
2020-10-19,385.32,387.18,373.38,374.74,373.277963586,312165,0.0000,1.0
2020-10-16,388.18,390.38,382.75,383.54,382.043630661,432935,0.0000,1.0
2020-10-15,381.51,387.44,381.51,385.65,384.145398562,193861,0.0000,1.0
2020-10-14,386.59,391.0,383.77,386.24,384.733096695,246578,0.0000,1.0
2020-10-13,385.49,386.333,380.1128,384.16,382.66121175,296072,0.0000,1.0
2020-10-12,388.54,392.525,385.79,388.66,387.143655141,265527,0.0000,1.0
